Archivo de logging creado! ; Sun Apr  7 19:56:21 2019
INFO ; Archivo de configuracion JSON leido correctamente ; Sun Apr  7 19:56:21 2019
DEBUG ; Se cargo la imagen con zindex = 1: contents/images/capa1.png ; Sun Apr  7 19:56:22 2019
DEBUG ; Se cargo la imagen con zindex = 2: contents/images/capa2.png ; Sun Apr  7 19:56:22 2019
DEBUG ; Se cargo la imagen con zindex = 3: contents/images/capa3.png ; Sun Apr  7 19:56:22 2019
DEBUG ; Se cargo correctamente el parallax ; Sun Apr  7 19:56:22 2019
INFO ; Se cargo correctamente la imagen del personajeCapitanAmerica ; Sun Apr  7 19:56:22 2019
INFO ; Se cargo correctamente la imagen del personajeVenom ; Sun Apr  7 19:56:22 2019
INFO ; Se cargo correctamente la imagen del personajeSpiderman ; Sun Apr  7 19:56:22 2019
INFO ; Se cargo correctamente la imagen del personajeCapitanAmerica ; Sun Apr  7 19:56:22 2019
DEBUG ; Jugador 2 a la izquierda ; Sun Apr  7 19:56:24 2019
DEBUG ; Jugador 2 a la izquierda ; Sun Apr  7 19:56:24 2019
DEBUG ; Jugador 2 a la izquierda ; Sun Apr  7 19:56:24 2019
DEBUG ; Jugador 2 salta ; Sun Apr  7 19:56:24 2019
DEBUG ; Jugador 2 salta ; Sun Apr  7 19:56:25 2019
DEBUG ; Jugador 2 salta ; Sun Apr  7 19:56:25 2019
DEBUG ; Jugador 1 salta ; Sun Apr  7 19:56:27 2019
DEBUG ; Jugador 1 salta ; Sun Apr  7 19:56:27 2019
DEBUG ; Jugador 1 a la derecha ; Sun Apr  7 19:56:29 2019
DEBUG ; Jugador 1 a la derecha ; Sun Apr  7 19:56:29 2019
DEBUG ; Jugador 1 a la derecha ; Sun Apr  7 19:56:30 2019
DEBUG ; Jugador 1 a la derecha ; Sun Apr  7 19:56:30 2019
DEBUG ; Jugador 1 a la derecha ; Sun Apr  7 19:56:30 2019
DEBUG ; Jugador 1 a la derecha ; Sun Apr  7 19:56:30 2019
DEBUG ; Jugador 1 a la derecha ; Sun Apr  7 19:56:30 2019
DEBUG ; Jugador 1 a la derecha ; Sun Apr  7 19:56:30 2019
DEBUG ; Jugador 1 a la derecha ; Sun Apr  7 19:56:30 2019
DEBUG ; Jugador 1 a la derecha ; Sun Apr  7 19:56:30 2019
DEBUG ; Jugador 1 a la derecha ; Sun Apr  7 19:56:30 2019
DEBUG ; Jugador 1 a la derecha ; Sun Apr  7 19:56:30 2019
DEBUG ; Jugador 1 a la derecha ; Sun Apr  7 19:56:30 2019
DEBUG ; Jugador 1 a la derecha ; Sun Apr  7 19:56:30 2019
DEBUG ; Jugador 1 a la derecha ; Sun Apr  7 19:56:30 2019
DEBUG ; Jugador 1 a la derecha ; Sun Apr  7 19:56:30 2019
DEBUG ; Jugador 1 a la derecha ; Sun Apr  7 19:56:30 2019
DEBUG ; Jugador 1 a la derecha ; Sun Apr  7 19:56:30 2019
DEBUG ; Jugador 1 a la derecha ; Sun Apr  7 19:56:30 2019
DEBUG ; Jugador 1 a la derecha ; Sun Apr  7 19:56:30 2019
DEBUG ; Jugador 1 a la derecha ; Sun Apr  7 19:56:30 2019
DEBUG ; Jugador 1 a la derecha ; Sun Apr  7 19:56:30 2019
DEBUG ; Jugador 1 a la derecha ; Sun Apr  7 19:56:30 2019
DEBUG ; Jugador 1 a la derecha ; Sun Apr  7 19:56:30 2019
DEBUG ; Jugador 1 a la derecha ; Sun Apr  7 19:56:30 2019
DEBUG ; Jugador 1 a la derecha ; Sun Apr  7 19:56:30 2019
DEBUG ; Jugador 1 a la derecha ; Sun Apr  7 19:56:30 2019
DEBUG ; Jugador 1 a la derecha ; Sun Apr  7 19:56:30 2019
DEBUG ; Jugador 1 a la derecha ; Sun Apr  7 19:56:30 2019
DEBUG ; Jugador 1 a la derecha ; Sun Apr  7 19:56:30 2019
DEBUG ; Jugador 1 a la derecha ; Sun Apr  7 19:56:30 2019
DEBUG ; Jugador 1 a la derecha ; Sun Apr  7 19:56:30 2019
DEBUG ; Jugador 1 a la derecha ; Sun Apr  7 19:56:31 2019
DEBUG ; Jugador 1 a la derecha ; Sun Apr  7 19:56:31 2019
DEBUG ; Jugador 1 a la derecha ; Sun Apr  7 19:56:31 2019
DEBUG ; Jugador 1 a la derecha ; Sun Apr  7 19:56:31 2019
DEBUG ; Jugador 1 a la derecha ; Sun Apr  7 19:56:31 2019
DEBUG ; Jugador 1 a la derecha ; Sun Apr  7 19:56:31 2019
DEBUG ; Jugador 1 a la derecha ; Sun Apr  7 19:56:31 2019
DEBUG ; Jugador 1 a la derecha ; Sun Apr  7 19:56:31 2019
DEBUG ; Jugador 1 a la derecha ; Sun Apr  7 19:56:31 2019
DEBUG ; Jugador 1 a la derecha ; Sun Apr  7 19:56:31 2019
DEBUG ; Jugador 1 a la derecha ; Sun Apr  7 19:56:31 2019
DEBUG ; Jugador 1 a la derecha ; Sun Apr  7 19:56:31 2019
DEBUG ; Jugador 1 a la derecha ; Sun Apr  7 19:56:31 2019
DEBUG ; Jugador 1 a la derecha ; Sun Apr  7 19:56:31 2019
